"Schema","Schema.URL","Schema.ERD.URL","Table","Table.URL","Column.name","Data.type","Default.value","Value.constraint","Default.constraint","Identity","Nullable","Description"
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","issuer_name","nvarchar(255)",,,,"false","true","Name of the issuer of this badge."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","issuer_url","varchar(100)",,,,"false","true","The url or website of the issuer of this badge"
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","issuer_organization","nvarchar(500)",,,,"false","true","Organization for the issuer of this badge."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","issuer_contact_email","varchar(100)",,,,"false","true","The email address of the issuer of this badge"
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","content_pk1","id",,,,"false","false","This is the foreign key for the content table."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","recipient_email","varchar(100)",,,,"false","false","The email address of the recipient of this badge"
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","salt","nvarchar(255)",,,,"false","false","This the encryption salt. Not sure we should be keeping this in the database."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","issue_date","datetime",,,,"false","true","This is the date this badge was issued."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","expire_date","datetime",,,,"false","true","This is the date this badge expires."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","version","varchar(50)",,,,"false","true","Version of Mozilla Open Badge"
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","badge_name","nvarchar(255)",,,,"false","true","This is the badge's name."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","badge_image_location","nvarchar(255)",,,,"false","true","Path to badge image."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","badge_description","nvarchar(1000)",,,,"false","true","Description of this badge."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","badge_criteria","nvarchar(1000)",,,,"false","true","Criteria of this badge. May be a full paragraph of text."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","pk1","id",,,,"true","false","This is the primary key for the table."
"achievements_b2","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-achievements_b2.html",,"ach_badges","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/achievements_b2/ach_badges.html","uuid","nvarchar(255)",,,,"false","false","Universally unique identifier."
