"Schema","Table","Column.name","Data.type","Description"
"adaptive_release","avl_crit","end_date","datetime","The time when the action ended."
"adaptive_release","avl_crit","min_score","float","The minimum score to match this criterion."
"adaptive_release","avl_crit","max_score","float","The maximum score to match this criterion."
"adaptive_release","avl_crit","negate_ind","char(1)","Negate the result of this criteria result; return 'N' if it passes and 'Y' if it fails."
"adaptive_release","avl_crit","crit_type","varchar(32)","This crit_type column represents the type of criterion for this availability criterion entity."
"adaptive_release","avl_crit","avl_rule_pk1","id","The avl_rule_pk1 column references the availability rule for this criterion."
"adaptive_release","avl_crit","reviewed_content_pk1","id","The reviewed content associated with this criterion."
"adaptive_release","avl_crit","pk1","id","This is the surrogate primary key for the table."
"adaptive_release","avl_crit","start_date","datetime","The time when the action happened."
"adaptive_release","avl_crit","gradebook_main_pk1","id","The grade book entity associated with this criterion."
"adaptive_release","avl_crit_acl_group","groups_pk1","id","This is the foreign key referencing group table."
"adaptive_release","avl_crit_acl_group","avl_crit_pk1","id","This is the foreign key referencing avl_crit table."
"adaptive_release","avl_crit_acl_group","pk1","id","This is the surrogate primary key for the table."
"adaptive_release","avl_crit_acl_portal_role","pk1","id","This is the surrogate primary key for the table."
"adaptive_release","avl_crit_acl_portal_role","portal_role_pk1","id","This is the foreign key referencing institution_roles table."
"adaptive_release","avl_crit_acl_portal_role","avl_crit_pk1","id","This is the foreign key referencing avl_crit table."
"adaptive_release","avl_crit_acl_user","pk1","id","This is the surrogate primary key for the table."
"adaptive_release","avl_crit_acl_user","avl_crit_pk1","id","This is the foreign key referencing avl_crit table."
"adaptive_release","avl_crit_acl_user","users_pk1","id","This is the foreign key referencing users table."
"adaptive_release","avl_rule","rule_type","char(1)","This is the type of the avl_rule. U=User, S=System"
"adaptive_release","avl_rule","course_contents_pk1","id","This is the foreign key referencing course_contents table."
"adaptive_release","avl_rule","pk1","id","This is the surrogate primary key for the table."
"adaptive_release","avl_rule","title","nvarchar(100)","This is avl_rule title."
"admin","bb_config_registry","hostname","varchar(255)",
"admin","bb_config_registry","pk1","id",
"admin","bb_config_registry","bb_config_props","ntext",
"admin","bb_instance","stat_db_host","varchar(255)",
"admin","bb_instance","min_conn_pool_size","int",
"admin","bb_instance","modified_date","datetime",
"admin","bb_instance","stat_enabled_ind","char(1)",
"admin","bb_instance","max_conn_pool_size","int",
"admin","bb_instance","stat_db_pass","nvarchar(20)",
"admin","bb_instance","stat_db_port","int",
"admin","bb_instance","db_type","varchar(20)",
"admin","bb_instance","name","nvarchar(255)",
"admin","bb_instance","created_date","datetime",
"admin","bb_instance","pk1","id",
"admin","bb_instance","db_pass","nvarchar(20)",
"admin","bb_instance","db_instance","varchar(63)",
"admin","bb_instance","description","nvarchar(2000)",
"admin","bb_instance","online_ind","char(1)",
"admin","bb_instance","db_port","int",
"admin","bb_instance","db_user","nvarchar(63)",
"admin","bb_instance","db_host","varchar(255)",
"admin","bb_instance","bbuid","varchar(65)",
"admin","bb_instance_host","bb_instance_pk1","id",
"admin","bb_instance_host","hostname","varchar(255)",
"admin","bb_instance_host","pk1","id",
"admin","bb_instance_host","default_ind","char(1)",
"admin","bb_instance_host","description","nvarchar(2000)",
"admin","bb_instance_host","online_ind","char(1)",
"admin","bb_instance_registry","registry_key","varchar(255)",
"admin","bb_instance_registry","pk1","id",
"admin","bb_instance_registry","bb_instance_pk1","id",
"admin","bb_instance_registry","registry_value","nvarchar(255)",
"admin","bb_instance_stat","collect_date","datetime",
"admin","bb_instance_stat","pk1","id",
"admin","bb_instance_stat","num_users","int",
"admin","bb_instance_stat","num_courses","int",
"admin","bb_instance_stat","bb_instance_pk1","id",
"admin","cache_tokens","last_modified","datetime","Time cached item was last modified."
"admin","cache_tokens","cache_key","varchar(100)","Cached item notification applies to."
"admin","cache_tokens","last_modified","datetime","Time cached item was last modified."
"admin","cache_tokens","cache_key","varchar(100)","Cached item notification applies to."
"admin","system_history","install_type","varchar(50)",
"admin","system_history","bbuid","varchar(65)",
"admin","system_history","install_data","ntext",
"admin","system_history","install_date","datetime",
"admin","system_history","dtmodified","datetime",
"admin","system_history","pk1","id",
"admin","system_history","dtcreated","datetime",
"admin","system_history","install_description","nvarchar(255)",
"admin","system_history","install_version","varchar(255)",
"admin","system_history","xythos_version","varchar(255)",
"admin","system_info_registry","dtcreated","datetime",
"admin","system_info_registry","dtmodified","datetime",
"admin","system_info_registry","permission","char(1)",
"admin","system_info_registry","pk1","id",
"admin","system_info_registry","registry_value","nvarchar(255)",
"admin","system_info_registry","registry_key","varchar(255)",
"admin","system_information","install_date","datetime",
"admin","system_information","admin_instant_messenger_type","nvarchar(255)",
"admin","system_information","virtual_install_permitted","numeric(1,0)",
"admin","system_information","license_type","varchar(100)",
"admin","system_information","serial_number","varchar(100)",
"admin","system_information","admin_instant_messenger_id","nvarchar(255)",
"admin","system_information","build_number","numeric",
"admin","system_information","admin_firstname","nvarchar(100)",
"admin","system_information","software_version","varchar(100)",
"admin","system_information","admin_email","nvarchar(100)",
"admin","system_information","admin_phone","nvarchar(50)",
"admin","system_information","pk1","id",
"admin","system_information","admin_lastname","nvarchar(100)",
"admin","system_information","institution_name","nvarchar(255)",
"as_core","activemq_acks","container","varchar(250)","see the link in the table comment"
"as_core","activemq_acks","selector","varchar(250)","see the link in the table comment"
"as_core","activemq_acks","sub_name","varchar(250)","see the link in the table comment"
"as_core","activemq_acks","sub_dest","varchar(250)","see the link in the table comment"
"as_core","activemq_acks","priority","bigint","see the link in the table comment"
"as_core","activemq_acks","client_id","varchar(250)","see the link in the table comment"
"as_core","activemq_acks","last_acked_id","bigint","see the link in the table comment"
"as_core","activemq_acks","xid","varchar(250)","see the link in the table comment"
"as_core","activemq_lock","time","bigint","see the link in the table comment"
"as_core","activemq_lock","id","bigint","see the link in the table comment"
"as_core","activemq_lock","broker_name","varchar(250)","see the link in the table comment"
"as_core","activemq_msgs","msg","image","see the link in the table comment"
"as_core","activemq_msgs","expiration","bigint","see the link in the table comment"
"as_core","activemq_msgs","priority","bigint","see the link in the table comment"
"as_core","activemq_msgs","msgid_prod","varchar(250)","see the link in the table comment"
"as_core","activemq_msgs","msgid_seq","bigint","see the link in the table comment"
"as_core","activemq_msgs","xid","varchar(250)","see the link in the table comment"
"as_core","activemq_msgs","id","bigint","see the link in the table comment"
"as_core","activemq_msgs","container","varchar(250)","see the link in the table comment"
"as_core","activity_accumulator","content_pk1","id","This is a reference to the primary key of the content item associated with this activity."
"as_core","activity_accumulator","timestamp","datetime","This is the date and/or time at which this event occurred."
"as_core","activity_accumulator","status","numeric","This indicates the status of the event. Value values are SUCCESS or FAILURE.  The values come from the TrackingEvent.Status enumeration."
"as_core","activity_accumulator","event_type","varchar(30)","This is the type of activity. For example, PAGE_ACCESS, MODULE_ACCESS, LOGIN_ATTEMPT, etc.  The full list of values is in the TrackingEvent.Type enumueration."
"as_core","activity_accumulator","internal_handle","varchar(255)","This is a reference to the internal_handle of the navigation item associated with the page being accessed.  This is typically populated for PAGE_ACCESS typed events."
"as_core","activity_accumulator","session_id","id","This is a reference to the primary key of the user session associated with this activity. Identifies the user session that initiated the action. A session is simply a browser connection to the system launched from an end-user machine."
"as_core","activity_accumulator","status","numeric","This indicates the status of the event. Value values are success (1) or failure (0). The values come from the TrackingEvent.Status enumeration."
"as_core","activity_accumulator","forum_pk1","id","This is a reference to the primary key of the discussion forum association with this activity."
"as_core","activity_accumulator","event_type","varchar(30)","This is the type of activity. Groups the event based on what occurred. For example, TAB_ACCESS (page view), PAGE_ACCESS (page view, Triggered when a page, other than a course, organization, content, module, or tab is accessed on the system. The name of the navigation item will be returned.), MODULE_ACCESS, LOGIN_ATTEMPT, LOGOUT, SESSION_TIMEOUT, COURSE_ACCESS (Page view, Triggered when a course frameset is loaded, or when a page is accessed in a course. The name of the navigation item will be returned.), SESSION_INIT (Triggered when a session is initialized), etc. The full list of values is in the TrackingEvent.Type enumueration."
"as_core","activity_accumulator","data","nvarchar(255)","This contains any free-form text data associated with the event. Data related to the event. This field provides additional information on the event. Each event uses this field, if at all, in different ways. In many instances, the data included in this field is a value that is easily deduced. In some instances, the value in the data field is a number, such as _1_1 or _29_1. These are associated with an EVENT_TYPE of TAB_ACCESS or MODULE_ACCESS. The first number is an ID that references a tab or a module (the second number can be ignored). The ID number that refers to a tab can be found in the user interface by scrolling over the tab. The ID number appears as part of the URL in the status bar.The ID number that refers to a module can be found in the same manner. Scroll over the Maximize, Minimize, or Edit button associated with a module. The ID number will appear as part of the URL in the status bar. Please note that the Detach Module button returns a different ID number and should be ignored."
"as_core","activity_accumulator","pk1","bigid","This is the surrogate primary key for the table."
"as_core","activity_accumulator","pk1","bigid","This is the surrogate primary key for the table."
"as_core","activity_accumulator","internal_handle","varchar(255)","This is a foreign key referencing the internal_handle column of the [AS_CORE].navigation_item table. This is tracked whenever a user accesses a page in the the Academic Suite (eg. When either a PAGE_ACCESS or COURSE_ACCESS event occurs). This will be NULL for events other than PAGE_ACCESS and COURSE_ACCESS. Internal system identifier for the event. This field corresponds to the unique ID in the NAVIGATION_ITEM table. Not all page requests correspond to a navigation item, so this field may often appear blank. If this field is empty, check the CONTENT_PK1 field. If the page accessed displayed content, the primary key for the piece of content will appear in that field."
"as_core","activity_accumulator","content_pk1","id","This is a foreign key referencing the primary key of the course_contents table to indicate the Course Content this activity is associated with. This will be NULL if the activity is not Course Content related. If the user has logged in, then there activity is tied to their user_pk1. This field is populated when the EVENT_TYPE is CONTENT_ACCESS."
"as_core","activity_accumulator","data","nvarchar(255)","This contains any free-form text data associated with the event."
"as_core","activity_accumulator","forum_pk1","id","This is a foreign key referencing the primary key of the forum table to indicate the Forum this activity is taking place in. Forum activity can take place within a Course or Institution Discussion Board. This will be NULL if the activity takes place outside a Forum."
"as_core","activity_accumulator","course_pk1","id","This is a foreign ley referencing the primary key of the [AS_CORE].course_main table to indicate the Course the activity is occuring in. This will be NULL if the activity occurs outside a Course. If the user has logged in, then there activity is tied to their user_pk1."
"as_core","activity_accumulator","group_pk1","id","This is a foreign key referencing the primary key of the group table to indicate the Course Group this activity belongs to. This will be NULL if the activity is not Course Group related."
"as_core","activity_accumulator","session_id","id","This is a reference to the primary key of the user session associated with this activity."
"as_core","activity_accumulator","timestamp","datetime","This is the date and/or time at which this event occurred."
"as_core","activity_accumulator","group_pk1","id","This is a reference to the primary key of the course group associated with this activity."
"as_core","activity_accumulator","course_pk1","id","This is a reference to the primary key of the course associated with this activity."
"as_core","activity_accumulator","user_pk1","id","This is a foreign key referencing the primary key of the [AS_CORE].users table to indicate the owner of the activity. This can be NULL if the user cannot be determined. If the user has logged in, then there activity is tied to their user_pk1."
"as_core","activity_accumulator","user_pk1","id","This is a reference to the primary key of the user associated with this activity."
"as_core","activity_accumulator_queue","forum_pk1","id","This is the foreign key referencing forum_main table."
"as_core","activity_accumulator_queue","event_type","varchar(30)","This is the type of the event. Possible values are CONTENT_ACCESS, COURSE_ACCESS,LOGIN_ATTEMPT, LOGOUT, MODULE_ACCESS, PAGE_ACCESS, SESSION_INIT, SESSION_TIMEOUT, TAB_ACCESS, STORED_PROCEDURE, SCHEDULED_TASK, COMMAND_LINE_TOOL."
"as_core","activity_accumulator_queue","group_pk1","id","This is the foreign key referencing group table."
"as_core","activity_accumulator_queue","timestamp","datetime","This is the date and/or time at which this event occurred."
"as_core","activity_accumulator_queue","pk1","bigid","This is the surrogate primary key for the table."
